TVDSS,SV,DEN,SV_1,SV_NEW
0,0,1.03,0,0
0.126302,0.185026,1.03,0.185048028,0.184859396
0.252604,0.370046,1.03,0.370096057,0.369718793
0.378906,0.555066,1.03,0.555144085,0.554578189
0.505209,0.740086,1.03,0.740193578,0.739439049
0.631511,0.925111,1.03,0.925241607,0.924298445
0.757813,1.110132,1.03,1.110289635,1.109157841
0.884115,1.295152,1.03,1.295337663,1.294017237
1.010417,1.480172,1.03,1.480385691,1.478876634
1.13672,1.665197,1.03,1.665435185,1.663737494
1.263022,1.850217,1.03,1.850483213,1.84859689
1.389324,2.035237,1.03,2.035531242,2.033456286
1.515626,2.220258,1.03,2.22057927,2.218315682
1.641928,2.405277,1.03,2.405627298,2.403175079
1.768231,2.590303,1.03,2.590676792,2.588035939
1.894533,2.775323,1.03,2.77572482,2.772895335
2.020835,2.960343,1.03,2.960772848,2.957754731
2.147137,3.145363,1.03,3.145820876,3.142614127
2.273439,3.330389,1.03,3.330868905,3.327473524
2.399741,3.515409,1.03,3.515916933,3.51233292
2.526044,3.700429,1.03,3.700966426,3.69719378
2.652346,3.885449,1.03,3.886014455,3.882053176
2.778648,4.070469,1.03,4.071062483,4.066912572
2.90495,4.255495,1.03,4.256110511,4.251771969
3.031252,4.440515,1.03,4.44115854,4.436631365
3.157555,4.625535,1.03,4.626208033,4.621492225
3.283857,4.810555,1.03,4.811256061,4.806351621
3.410159,4.995581,1.03,4.99630409,4.991211017
3.536461,5.180601,1.03,5.181352118,5.176070413
3.662763,5.365621,1.03,5.366400146,5.36092981
3.789065,5.550641,1.03,5.551448175,5.545789206
3.915368,5.735661,1.03,5.736497668,5.730650066
4.04167,5.920687,1.03,5.921545696,5.915509462
4.167972,6.105707,1.03,6.106593725,6.100368858
4.294274,6.290727,1.03,6.291641753,6.285228255
4.420577,6.475747,1.03,6.476691246,6.470089115
4.546879,6.660772,1.03,6.661739275,6.654948511
4.673181,6.845792,1.03,6.846787303,6.839807907
4.799483,7.030812,1.03,7.031835331,7.024667303
